review_id,review_text
R001,"入口工作人员主动帮老人找轮椅，态度很耐心。"
R002,"周六上午排队九十分钟才进门，孩子都累哭了。"
R003,"门票60元，里面可看的项目不多，感觉偏贵。"
R004,"园区很干净，湖边景色也很舒服。"
R005,"没什么特别惊喜，也没有明显问题。"
R006,"地铁出来步行十分钟就到，交通很方便。"
R007,"洗手间有两个水龙头坏了，地面还有积水。"
R008,"真贴心，排队一个半小时还不让坐，太阳晒得我很开心。"
R009,"宣传页说玻璃栈道开放，到了才知道在维修。"
R010,"儿童区玩具旧了一些，但工作人员会主动帮忙，孩子玩得还行。"
R011,"景区餐厅的面又咸又贵，不如自带食物。"
R012,"今天大雾，基本看不到山景。"
R013,"自驾导航准确，停车场离入口不远。"
R014,"官网写着下午有民俗表演，现场临时取消也没人通知。"
R015,"瀑布很好看，但观景台旁边垃圾桶满了。"
R016,"缆车停运没有提前提醒，只能走很陡的山路。"
R017,"工作人员态度正常，排队十五分钟可以接受。"
R018,"傍晚的湖面和落日非常漂亮，照片完全不用滤镜。"
R019,"学生票到底要不要预约？页面写得不清楚。"
R020,"小吃分量不大，价格偏高，不过味道确实不错。"
R021,"节假日周边堵车，停车位也很难找。"
R022,"好几个休息座椅松动，老人坐着不太安全。"
R023,"门票50元可以接受，园里的花开得很好。"
R024,"问导游洗手间位置，他只说不知道就走了。"
R025,"排队绕了好几圈，游览路线很长，但山顶风景值得。"
R026,"风景就那样吧。"
R027,"公告显示闭园时间是六点，五点就开始清人。"
R028,"步道边垃圾很多，还有一股异味。"
R029,"景区里的菌汤和炒野菜很好吃，价格也透明。"
R030,"工作人员真有效率，问路十分钟都没人理。"
R031,"第一次来，整体体验很放松，下次还会再来。"
R032,"花了不少钱，感觉一般。"
R033,"朋友说这里很好玩，但我自己还没去过。"
R034,"下雨天室内休息区不够，景色也被雨挡住了。"
R035,"无障碍坡道平整，检票员还帮我推了婴儿车。"
R036,"虽然排了二十分钟，但工作人员分流清楚，进场很快。"
R037,"点的鱼有点凉，服务员说可以加热，我还在考虑。"
R038,"保安说话很冲，洗手间也没有洗手液。"
R039,"宣传说免费停车，离场时却收了20元。"
R040,"景色很美，但手机没信号，导航也不好用。"
